Name|Breeder|Vendor|Characteristics|Similar|Adaptation|Resistance|Parentage
Edison|A.G. Gustafson, Seedsman. PVP 7500037.|A.G. Gustafson, Seedsman. PVP 7500037.|||||
Ego|Novartis Seeds, Inc. PVP 8500190.|Novartis Seeds, Inc. PVP 8500190.|||||
Elegance (XPC 141)|Asgrow Seed Co.|Asgrow Seed Co.|open pollinated, small sieve canner pea; medium maturity afila plant type.|Mini.|all pea areas. PVP 84000104. 1984.|fusarium wilt race 2.|
Elf|Asgrow Seed Company, New Haven, Connecticut.|Asgrow Seed Company, New Haven, Connecticut.|extra early Perfection type with small sieve size and dwarf vines.||areas high in moisture and fertility. Asgrow, Vegetables for Processing. 1955.|fusarium wilt.|
Elten (XP L10)|Asgrow Seed Co.|Asgrow Seed Co.|open pollinated.|Dark Skin Perfection with slightly larger sieve.|northwestern United States.|fusarium wilt race 1.|Dark Skin Perfection x breeding line.
Emerald|Florida Agric. Expt. Sta. and USDA, Gainesville, Florida.||dwarf vine; strong stem; narrow leaf; medium green, wrinkled, very sweet peas.|Premium Gem.|wide. USDA and Florida Agric. Expt. Sta. release, 29 March 1955.|slight to fusarium; tolerance to high and low temperature.|Kent Alderman x Laxtons Progress.
Empire (SVC 6024)|Stokely-Van Camp.|Stokely-Van Camp.|open pollinated, midseason, medium green, high yield and quality.|EWR Perfection 53.|western and central United States. 1977.|fusarium wilt; tolerance to heat, moisture, and root rot.|from combination of selected tester stocks by hybridization.
Encore (XPF256)|Asgrow.|Asgrow.|high yield, high quality, mid-late maturity.|Bolero. 1992.||fusarium wilt race 1, powdery mildew.|
Ensign (H237-4-2)|Gallatin Valley Seed Co.|Gallatin Valley Seed Co.|high quality Early Perfection canning type; vine height 30-32'; pods blunt, borne doubly; sieve size 4.03, which is smaller than Early Perfection 109, Early Perfection 174, or Wasatch.|Early Perfection 109.|wide. 1963.|common pea mosaic and common wilt.|
Envy (XPC 156)|Asgrow Seed Co.|Asgrow Seed Co.|open pollinated, midseason canner pea; with very high yield, medium sieve size.|Early Perfection 8221.|all pea areas. PVP 8400094. 1985.|fusarium wilt race 1; moderate to powdery mildew.|
Epic (XPF237)|Asgrow.|Asgrow.|second early, with high yield and uniform dark color.|Lotus. PVP. 1992.||fusarium wilt race 1, 2.|
Estancia (XP 384)|Seminis Vegetable Seeds-Asgrow.|Seminis Vegetable Seeds-Asgrow.|full season, medium sieve, afila type with blue foliage, freezer pea, sieve between Tacoma and Kalamo.|Tacoma, Kalamo.|North America and Northern Europe. PVP 9900272.|bean leaf roll, fusarium.|
Eureka|Rogers Brothers Seed Company, Idaho Falls, Idaho.|Rogers Brothers Seed Company, Idaho Falls, Idaho.|improved Perfection type canner.|Improved Famous. Rogers Catalog, 1956.||fusarium wilt.|Victory Freezer x Famous.
Everett|Novartis Seeds, Inc. PVP 8800106.|Novartis Seeds, Inc. PVP 8800106.|||||
Evergreen (SVC 6118)|Stokely-Van Camp.|Stokely-Van Camp.|open pollinated, very early vigorous determinate type with concentrated bloom and pod-set; green seed, high yield and quality.||western and central United States. 1974.|fusarium wilt.|from combination of selected tester stocks by hybridization.
Excel (XP 382)|Asgrow Seed Co.||a short vined, midseason canner in Early Perfection class.|Early Perfection 326.|general. 1965.|fusarium wilt.|
Famous (Improved)|Rogers Brothers Seed Company, Idaho Falls, Idaho.|canners.|determinate, midseason canner, high yielding, relatively small sieve.|Rogers Famous.|wide. The Canner, 3 February 1945.|fusarium wilt.|Wisconsin Perfection x Rogers Famous.
Faro|Seminis Vegetable Seeds. PVP 7700070.|Seminis Vegetable Seeds. PVP 7700070.|||||
Filly (XPF241)|Asgrow.|Asgrow.|afila conversion of Flair.|Flair. 1991.|||
Finess|Pure Line Seeds, Inc. PVP 9600146.|Pure Line Seeds, Inc. PVP 9600146.|||||
Flair (XPF 176)|Asgrow Seed Co.|Asgrow Seed Co.|open pollinated, small sieve, midseason, freezing pea with high yield.|Rally, except it is a freezer.|pea areas. PVP. 1987.|fusarium wilt race 1.|
Fraser|W. Brotherton Seed Company, Moses Lake, Washington.||early determinate vine, freezer.|Wasatch.|United States, Canada, Europe, England. 1956.|fusarium wilt.|
Freezer 37|Asgrow Seed Company, New Haven, Connecticut.|Asgrow Seed Company, New Haven, Connecticut.|earliness and quality of Thomas Laxton but a determinate vine.||wide. Asgrow Desc. Catalog 19, 1957.|fusarium wilt.|
Freezer 69 (XP 69)|Asgrow Seed Company, New Haven, Connecticut.|Asgrow Seed Company, New Haven, Connecticut.|early freezer with relatively tall vine.|Freezer 37.|wide. Asgrow Seed Co. 1960.|field splits, fusarium wilt.|
Freezer 640|Asgrow Seed Company, New Haven, Connecticut.|Asgrow Seed Company, New Haven, Connecticut.|stocky, determinate vine, approximately 29' high; midseason maturing between Freezer 37 and Dark Skin Perfection; high yielding; pods 3.37', straight, blunt, containing six to eight medium large, dark green peas averaging 5.08 sieve size and 95-100 tenderometer.|Dark Skin Perfection.|wide. Asgrow, Vegetables for Processing. 1955.|fusarium wilt.|
Freezonian|Rogers Brothers Seed Company, Idaho Falls, Idaho.|Rogers Brothers Seed Company, Idaho Falls, Idaho.|wilt resistant Thomas Laxton, for garden trade.|Thomas Laxton.|wide. Canner, 11 February 1947.|fusarium wilt, tolerance to root rot.|Thomas Laxton x Wilt Resistant Worlds Record.
Frisky|Seminis Vegetable Seeds. PVP 7700009.|Seminis Vegetable Seeds. PVP 7700009.|||||
Fristo (XPF280)|Asgrow.|Asgrow.|small sieve freezer with early maturity and wrinkled seed.|Frisky, Cobalt. 1993.||fusarium wilt race 1, bean yellow mosaic virus, ascochyta race C.|
Frolic|Novartis Seeds, Inc. PVP 8700148.|Novartis Seeds, Inc. PVP 8700148.|||||
Frosty|Rogers Brothers Seed Company, Idaho Falls, Idaho.|Rogers Brothers Seed Company, Idaho Falls, Idaho.|productive freezer type pea, slightly earlier than Midfreezer, medium large berries, good quality.|Midfreezer.|wide. Roger Catalog, 1961. 1960.|fusarium wilt.|undisclosed cross.
G.S.M. Large Canner|W. Brotherton Seed Company, Moses Lake, Washington.||midseason, large sieve, green seeded.|Perfected Wales.|wide. 1960.|fusarium wilt.|
Gain (XPC 173)|Asgrow Seed Co.|Asgrow Seed Co.|open pollinated, medium late afila canner type.|Pomak.|pea areas. PVP. 1986.|fusarium wilt race 1, moderate to powdery mildew.|
Galasweet|Novartis Seeds, Inc. PVP 8500191.|Novartis Seeds, Inc. PVP 8500191.|||||
Galaxie (601271)|Rogers Brothers Seed Co.|Rogers Brothers Seed Co.|Early Perfection Freezer type, heavily double podded, relatively small sieve, dark green berries; two days later than Igloo.|Igloo, Early Frosty, Coronet.|wide. Rogers Brothers Seed Company Catalog, 1968.|fusarium wilt.|[(Victory Freezer x Famous) x Perfected Freezer] x Pluperfect.
Gallant|Novartis Seeds, Inc. PVP 200000053.|Novartis Seeds, Inc. PVP 200000053.|||||
Gallatin (40)|Gallatin Valley Seed Co.|Gallatin Valley Seed Co.|a late Perfection canner type, plant height 36-38', pods borne doubly, sieve size averages 3.93.||all pea areas. 1936.|common mosaic.|
Gallatin 2 (107-7)|Gallatin Valley Seed.|Gallatin Valley Seed.|very late, small berried canner type, plant height 36-38', pods borne doubly, sieve size averages 3.85.||all pea areas. 1958.|common pea mosaic and common wilt; tolerance to near wilt.|
Garden Sweet|W. Atlee Burpee and Co. 2000.|W. Atlee Burpee and Co. 2000.|||||
Gemini (SVC 6194)|Stokely-Van Camp.|Stokely-Van Camp.|early midseason, freezer, medium sieve, high yielding, double podded, determinate, very high quality, very good color.|Dark Skin Perfection.|midwestern and western United States. 1970.|common wilt.|
Genie|Novartis Seeds, Inc. PVP 8800089.|Novartis Seeds, Inc. PVP 8800089.|||||
Gentry|Stubbs Seed Services, Inc. PVP 7200141.|Stubbs Seed Services, Inc. PVP 7200141.|||||
Gilcrest|Eastern States Farmers Exchange, West Springfield, Massachusetts.|Eastern States Farmers Exchange, West Springfield, Massachusetts.|market type, long pointed pods, large berried, open vine; midseason maturity; obsolete.||northeastern United States. Eastern States Cooperator 27 (1):24. 1951.|fusarium wilt.|selection from Early Gilbo.
Glacier|Associated Seed Growers, New Haven, Connecticut.|Associated Seed Growers, New Haven, Connecticut.|early Thomas Laxton type.|Thomas Laxton. 1939.||fusarium wilt.|Thomas Laxton (Alcross x Thomas Laxton).
Goal (XPF97)|Asgrow.|Asgrow.|no sales yet.|Venus. PVP.||fusarium wilt race 1, 5.|
Goliath (XP 8500527)|Seminis Vegetable Seeds-Asgrow.|Seminis Vegetable Seeds-Asgrow.|tall snow pea, pods have long shelf life, high yields, good pod color retention.|Mammoth Melting.|Worldwide.|powdery mildew.|
Goya (XPF 131)|Asgrow Seed Co.|Asgrow Seed Co.|open pollinated, fresh market pea with large pods, medium color, good yield.|Rondo, but 4 days earlier.|fresh market pea areas. PVP. 1984.|fusarium wilt race 1; moderate to pea leaf roll virus.|
Granada|A.G. Gustafson, Seedsman. PVP 7800017.|A.G. Gustafson, Seedsman. PVP 7800017.|||||
Grant|W. Brotherton Seed Company, Inc. PVP 7800039.|W. Brotherton Seed Company, Inc. PVP 7800039.|||||
Green Bay (XP 366)|Asgrow Seed Company, New Haven, Connecticut.|Asgrow Seed Company, New Haven, Connecticut.|stocky vine, high yield, small sieve size, canner.|Early Perfection.|wide. Asgrow, Vegetables for Processing. 1961.|fusarium wilt.|
Green Sugar|Western Valley Seed Co. PVP 7500045.|Western Valley Seed Co. PVP 7500045.|||||
Greenstar (SVC 6095)|Stokely-Van Camp.|Stokely-Van Camp.|late midseason, freezer, very high yield, multi-podded, determinate, high quality, medium sieve with good color.|Dark Skin Perfection.|midwestern and western United States and England. 1967.|common wilt.|
