Name|Breeder|Vendor|Characteristics|Similar|Adaptation|Resistance|Parentage
Mogote (514-1BK)|USDA and Agric. Exp. Stat., Univ. of Puerto Rico.||vigorous semi-vine habit, light brown seeds.|||soil-borne diseases, common bacterial blight, rust, BCMV, CPMV, CMV, cercospora leaf spot. 1979.|produced by recurrent selection using a hybrid plant from PI 300660 (Chile) as one parent.
Monet (R0G 055)|Rogers Seed Co., Nampa, ID.|Rogers Seed Co., Nampa, ID.|Alubia bean, type Ib growth habit, late maturity.|||BCMV (I gene). 1996.|
Monroe|Cornell Univ., Ithaca, NY.||a dry bean, earlier, larger-seeded, higher yielding than Michelite.|Michelite. 1953.||BCMV and NY15.|Michelite 4* x Great Northern No. 1.
Montana No. 1|Montana Agric. Expt. Stat., Bozeman, MT.||early maturing, high yielding, semi-bush habit.|Great Northern. 1944.|regional to Montana and adjoining areas.|BMCV (1).|selection from Great Northern Bean field run.
Montana No. 5|Montana Agric. Expt. Stat., Boseman, MT.||medium indeterminate type of growth, medium maturity, pods held upright on vine.|Great Northern. 1947.|Montana and adjacent states.|BCMV (1).|selection from field run Great Northern Bean.
Montcalm (DRK023)|USDA-ARS and Michigan Agric. Exp. Stat., East Lansing, MI.||Dark red kidney, upright type I bush habit, field tolerance to halo blight.|||BCMV (type 1 and NY15 strains). 1974.|Great Northern No. 1 x Red Kidney.
Montrose|Colorado Agric. Expt Stn.||semi-vine Type III plant type, mid-season maturity, high yielding.|||BCMV and rust. 1999.|BelNeb2 / GH-196.
Monument (Nebr. CSW-5)|Univ. of Nebraska, Lincoln, NE.||Small white, early maturity, type IIa growth habit.||western Nebraska. HortScience 21:542, 1986. 1985.|BCMV (NY15 strain), some rust strains; some avoidance of white mold.|Aurora/3/Small White 53 3*/Small White 53/Meador #1.
Moonbeam (XP-B303)|Seminis Vegetable Seeds.|Seminis Vegetable Seeds.|Great Northern, upright indeterminate. 1995.||||
Morales (PR9610-9)|Puerto Rico Agric. Expt. Stn. and USDA-ARS.||indeterminate bush, short vine Type II growth habit, midseason maturity, commercially acceptable small white seed shape and color, suitable for both dry and green-shell production.|||BCMV, BGMV, and rust. Crop Sci. 39:1257, 1999. 1998.|Arroyo Loro/Don Silvio.
Navajo|New Mexico Agric. Exp. Stat., Las Cruces, NM.||Pinto bean, viny to semi-erect growth habit, moderately early maturity. 1980.||||USDA 2207/NM56-778.
Navigator (ROG345)|Rogers Seed Co., Nampa, ID.|Rogers Seed Co., Nampa, ID.|Navy bean, type IIb growth habit, late maturity, useful for direct harvesting.|||BCMV (I gene). 1995.|
Nebraska No. 1|Univ. of Nebraska, Lincoln.||foliage similar to Tepary in early stages, later stages similar to Montana #5, 3 to 4 days later than Great Northern UI-59.||western Nebraska. 1960.|common blight.|Phaseolus vulgaris cv. Montana #5 x P. acutifolius var. latifolius cv. Tepary.
Neptune (MSU#790053)|Michigan Agric. Exp. Stat. and USDA-ARS.||Navy bean, type II upright short vine growth habit.|||BCMV (I gene), rust; tolerant to Michigan isolates of halo blight, to air pollution oxidant ozone. Crop Sci. 26:1080-1081, 1986. 1981.|MSU#31906/San Fernando//Seafarer.
Newport (N90599)|Michigan Agric. Exp. Stat. and USDA-ARS.||Navy bean, upright type I growth habit with excellent resistance to lodging.|||BCMV (I gene), all races anthracnose (A and Are genes), and rust (Ur-3). Crop Sci. 35:1710-1711, 1995. 1995.|N85606/Harokent.
Nodak (GH-370)|North Dakota Agric. Exp. Stat. and USDA-ARS.||Pinto bean, type III growth habit with short vines.|||curly top virus, BCMV (type 1, NY15 strains). Crop Sci. 25:571, 1985. 1984.|GN 1140//UI-35/UI-35/PI 203958.
Norstar (Nx-041)|North Dakota Exp. Stat.||Navy bean, type II upright short vine plant habit coupled with a narrow plant profile.|||BCMV (I gene) and rust. Crop Sci. 33:1405-1406, 1993. 1991.|C-20/Fleetwood.
Northland (T8101)|W.G. Thompson and Sons Ltd., Canada.|Asgrow.|an extra early navy bean with good quality and exceptional yield for its maturity.|Seafarer. 1983.||bean common mosaic virus 1 and 15.|Bunsi/Seafarer.
NW 59 (RS-59 or RM-59)|USDA-ARS and Washington State Univ.||Red Mexican, early maturity.|||fusarium root rot, BCMV (type 1, NY15), curly top virus. Crop Sci. 22:685-686, 1982. 1974.|Sutter Pink//PI203958/Red Mexican UI35//Dark Red Kidney 801.
NW 63 (RS-63 or RM-63)|USDA-ARS and Washington State Univ.||Red Mexican, early maturity.|||fusarium root rot, BCMV (type 1, NY15), curly top virus. Crop Sci. 22:685-686, 1982. 1974.|Sutter Pink//PI203958/Red Mexican UI35//Dark Red Kidney 801.
NW 395 (LR-395 and W-395)|USDA-ARS and Agric. Exp. Sta., Washington, Idaho and Oregon.||Navy bean, short vine type, early maturity.||western production under irrigation. Crop Sci. 22:898, 1982. 1980.|curly top virus and BCMV (I gene).|Miluno (Chile)/t-1-2204 breeding line.
NW 410 (GR-410)|USDA-ARS and Washington State Univ.||Pinto, early maturing, short type III plant habit.|||fusarium root rot, BCMV, curly top virus. Crop Sci. 22:684-685, 1982. 1980.|Sutter Pink x Pinto UI 114.
NW 590 (GR-590 and GR-563)|USDA-ARS and Washington State Univ.||Pinto bean.|||fusarium root rot, BCMV (type 1, NY15 strains), curly top virus. Crop Sci. 22:684-685, 1982. 1980.|Pinto UI-114//Red Mexican UI-35*1/PI 203958/Red Mexican UI-35.
OAC Cygnus (OAC 86-1)|Univ. of Guelph, Guelph, Ontario, Canada.||Navy bean, bush type I plant habit, early maturity.|||anthracnose races and BCMV type 1 and NY15 strains. 1988.|Ex Rico 23/5/Ex Rico 23/Narda.
OAC Gryphon (OAC 82-2)|Dept. of Crop Science, Univ. of Guelph, Guelph, Ontario, Canada.||Navy bean seed, indeterminate, semi-vine plant habit, medium maturity.|||BCMV (1 and NY15 strains), alpha, beta, gamma, and delta races of bean anthracnose. 1988.|Ex Rico/5/Ex Rico 23/Narda.
OAC Seaforth|Crop Science Dept. Univ. of Guelph and Agric. Canada Research Stat., Harrow, Canada.||Navy bean, bush type plant habit.|||BCMV (1 and NY15 strains), anthracnose (Are gene). 1983.|Seafarer/PI 32648.
OAC Spring (OAC 85-1)|Dept. of Crop Science, Univ. of Guelph, Guelph, Ontario, Canada.||Navy bean, determinate bush-type plant habit, average maturity.|||anthracnose, BCMV (type 1 and NY15 strains). 1988.|Seafarer/5/Seafarer/Narda.
