Name|Breeder|Vendor|Characteristics|Similar|Adaptation|Resistance|Parentage
Earlaine|United States Department of Agric.||early, tubers white, smooth, shallow eyed, excellent market quality.||Maine. United States Department of Agric. Circ. 493, 1938.|mild mosaic and net necrosis.|Irish Cobbler x USDA Seedling 43055.
Early Gem (Early Russet)|USDA, Beltsville, Maryland, and released jointly with the University of Idaho and North Dakota Agric. College, Moscow, Idaho, and Fargo, North Dakota, respectively.|USDA, Beltsville, Maryland, and released jointly with the University of Idaho and North Dakota Agric. College, Moscow, Idaho, and Fargo, North Dakota, respectively.|Russet skin, early, generally small vines, three to five tubers per hill, scab resistant.|Russet Burbank.|Idaho, North Dakota, Colorado, and parts of California. American Potato Journal 32:79-85. March, 1955.||Russet Burbank x X96-56 x Russet Burbank.
Early Rose|Bresee.||not in production; medium yield of oblong, light red tubers; early maturity, good for tablestock, medium tuber solids, ancestor of many early cultivars. USDA Circ. 741, 1946. 1867.||||open pollinated seedling of Garnet Chili.
Eide Russet (MN10874)|Lauer, University Minnesota.||not in production; medium yield of oblong, russet tubers; medium maturity, good for tablestock.|||common scab. 1989.|WNC325-1 x Norgold Russet.
Characteristics: high yield of round, white tubers; late maturity, good for tablestock, medium tuber solids.|Adaptation: produced primarily in New York, valid 1996. American Potato Journal 62:653. 1985.|Similar:|Breeder: Thurston, Cornell University.|Resistance: golden nematode, late blight, early blight, verticillium wilt.|peat soils.|Parentage: D29-10 x NY27.|Name: Elba (NY59)
Empire|Cornell University, Ithaca, New York.||late, smooth tubers, large crop.||central and western New York. American Potato Journal 22:357-362, 1945. 1942.|late blight.|Rural New Yorker 2 x Azk 3. Azk. 3-Solanum demissum derivative.
Eramosa (F72217)|Coffin et al., Ag. Canada, Ontario.||high yield of oblong, white tubers; early maturity, good for tablestock, low tuber solids.||produced primarily in Atlantic Canada, valid 1996. American Potato Journal 66:293. 1987.|common scab.|F52047 x F60019.
Erendira|USDA, Beltsville, Maryland.|USDA and Rockefeller Foundation, Mexico City, Mexico.|round to oval tubers, white skinned, pale streaks of pink through white flesh.||central Mexico. American Potato Journal 36:300, 1959.|high field resistance to late blight.|USDA Acc. 24891 x USDA seedling X527-170.
Erie|Ohio Agric. Expt. Sta., Wooster.|T.B. Buell.|now grown only in limited area in Pennsylvania; similar to Katahdin in maturity and shape, but not in anthocyanin pigment. American Potato Journal 22:29-32, 1945.|Teton.|||received from USDA as Seedling 47101 from cross of 45146 x Earlaine.
Erik (MN4536)|Lauer, University Minnesota.||not in production; high yield of oblong, red tubers; early maturity, good for tablestock, low tuber solids.|||late blight, verticillium wilt. Potato Varieties in Canada, 1991, New Brunswick Department of Agric. 1983.|ND4524-7R x ND4620-1.
Erli-Red (MN50.4-52-40)|Ben Picha, Grand Forks, N.D.||extinct; medium yield of round, dark red tubers; early maturity, low tuber solids, free from knobs, hollow heart growth cracks and oversize.|Bounty.|northern states of the United States. American Potato Journal 38:78. 1960.|black-spot, air checking and abrasion, internal defects.|MN43.23-6 x MN43.17-16.
Essex|Cornell University, Ithaca, New York.||high yield, midseason to late in maturity.||northeastern United States. American Potato Journal 27:1-10, 1950. 1946.|late blight, and some field resistance to leafroll.|NY ABX-6 x Redd 1152, F2, Triumph. ABX-6-Solanum demissum derivative.
Excel (Nebraska 82 49-1X)|Werner, University Nebraska.||extinct; medium yield of oblong, red tubers; medium-early maturity, good for tablestock. National Potato Germplasm Report 28:127. 1957.||||Nebraska 143.47-16 x Nebraska 59.41-P1.
Fillmore|Cornell University, Ithaca, New York.||plants slow to emerge; large plants with rogose leaflets; terminal leaves purplish tinged; tubers with pinkish blush.||central and western New York. American Potato Journal 27:1-10, 1950.|late blight; tolerance to drought.|Rural New Yorker 2 x NY Azk-3 Sib of Empire.
Frontier Russet (A74114-4)|Pavek et al., USDA, University Idaho, others.||medium yield of oblong, russet tubers; medium maturity, good for tablestock, french fries, medium tuber solids, long dormancy.||produced primarily in the western United States, Atlantic Canada, valid 1996. American Potato Journal 68:525. 1990.|verticillium wilt, fusarium tuber rot, common scab.|A66102-16 x WN330-1.
Fundy|Canadian Department of Agric. Fredericton, N.B, Canada.|Canadian Department of Agric. Fredericton, N.B, Canada.|midseason, white tubers with good appearance, excellent cooking and baking quality.||northern potato growing areas. American Potato Journal 37: 274-277, 1960.|late blight (R1 gene) and virus A.|Keswick x USDA seedling X96-56.
Garnet Chili|Goodrich, private.||not in production; medium yield of oblong, light red tubers; late maturity, good for tablestock, important ancestor of many North American cultivars. USDA Circ. 741, 1946. 1953.||||open pollinated seedling of Rough Purple Chili.
Gemchip (BR7093-24)|Pavek et al., USDA, University Idaho, others.||high yield of oval, white tubers; late maturity, good for chips, medium tuber solids, medium dormancy.||produced primarily in the western United States, valid 1996. American Potato Journal 68:461. 1989.|verticillium wilt, fusarium tuber rot, net necrosis caused by pea leaf roll virus.|BR5960-9 x ND5737-3.
