Name|Breeder|Vendor|Characteristics|Similar|Adaptation|Resistance|Parentage
Sire (XP 4561077)|Seminis-Asgrow.|Seminis-Asgrow.|monoecious hybrid, intended for pollenizer, medium dark green fruit that is blocky, early and sustainable flowering; L/D ratio 3.0.|Benson.|North America. 1999.||F1 hybrid.
Slice (SC 4)|Clemson Coastal Expt. Sta.|Clemson Coastal Expt. Sta.|open pollinated, uniform green fruit color.|Marketmore 76, Poinsett 76.|wide. 1980.|cucumber mosaic virus, anthracnose, angular leaf spot, downy mildew, powdery mildew, scab.|SC 817, SC 716, and disease-resistant gene pool.
Slice King NK (NVH 2160)|Northrup King.|Northrup King.|predominantly gynoecious hybrid slicer, uniform green, excellent shape that is ideal for slicing.|||scab, powdery mildew, downy mildew, cucumber mosaic virus tolerance. Not the same as Slice King from Sakata. 1989.|
Slice King Sk|Sakata Seed.|Sakata Seed.|predominantly gynoecious hybrid slicer, medium dark green fruit 8' long, early season.|||scab, powdery mildew, downy mildew, angular leaf spot. Not the same as Slice King from Northrup King.|
Slice Max (Exp 7)|Sakata Seed.|Sakata Seed.|predominantly gynoecious hybrid slicer, white spined, 8' fruit length, mid-season.|||powdery mildew.|
Slice Nice (DEXP 3)|A. Gabert.|ARCO.|predominantly gynoecious hybrid slicer, white spined, uniform color, 8.5 x 2.5' fruit, 70 day maturity, vines withstand multiple harvest handling, straight, blocky.|Dasher II. 1984.||cucumber mosaic virus, powdery mildew, downy mildew, angular leaf spot, scab, anthracnose.|
Slice Top|Sakata Seed.|Sakata Seed.|predominantly gynoecious hybrid slicer, white spined, dark green fruit, 8' fruit length, main season.|Marketmore, but higher yield.||scab, downy mildew, powdery mildew, angular leaf spot.|
Slicemaster (PSX 233-176-71)|Petoseed.|Petoseed.|predominantly gynoecious hybrid slicer, early, 62 day maturity, very dark green color, less than 8-9' fruit length, high yield.|Victory.|wide. 1975.|scab, cucumber mosaic virus, angular leaf spot, anthracnose.|
Slicemaster Select|Petoseed.|Petoseed.|predominantly gynoecious hybrid slicer, early maturity, 60 day maturity, uniform dark green, cylindrical, straight, slightly tapered fruit, 8.25 x 2.25' fruit, vigorous vines.|||anthracnose race 2, angular leaf spot, scab, cucumber mosaic virus.|
Slice-Mor (NCV 5505)|Moran Seeds.|Moran Seeds.|F1 hybrid, slicer, dark green color, lightly stippled fruit that tapers slightly at blossom end, market maturity will be 8', 52 day maturity.|Gemini.|wide. 1982.|downy, powdery mildews, cucumber mosaic virus, anthracnose race 1, scab.|
Slice More (SCU 6601)|Sakata Seed America.|Sakata Seed America.|predominantly gynoecious slicing type, medium-size vine, uniform dark green fruit, high yielding.|Dasher II.|fresh-market; wide. 2001.|scab, downy mildew, powdery mildew; tolerance to CMV, anthracnose races 1, 3.|F1 hybrid.
Slicerite (8C-X11)|Ferry Morse Seed Co.|Ferry Morse Seed Co.|F1 hybrid, productive slicer, fairly straight dark green fruit, moderate stippling, very slight striping at blossom end, good length.||Cherokee 7. 1975.||
Smooth Set|Sakata Seed (Park Seed in US).|Sakata Seed (Park Seed in US).|predominantly gynoecious hybrid greenhouse slicer, recommended in locations of high temps and excessive humidity, 8' fruit length.||greenhouse.|cucumber mosaic virus.|
Smoothie|North Carolina State College, Hort. Crops Research Sta., Castle Hayne.||very smooth skinned fruit, glossy, dark green, no warts, few fine spines, vigorous plants, prominent tendrils.||wide. 1957.||Cubit x Puerto Rico 39.
SMR 58|L. Robinson Co.|L. Robinson Co.|probably a local version of Wisconsin SMR 18.||||
Snappy (Hybrid NK 834)|Northrup King and Co.||F1, black spined, pickler, matures in season with Spartan Dawn, vine medium small, medium green color, fruit slightly longer than Spartan Dawn or NK 805, dark green.|||cucumber mosaic virus, scab, spot rot. 1966.|MSU 713-5 female cross on to a N.K. line.
Snows Perfection|Joseph Harris Co.|Nat. Seed Storage Lab.|monoecious inbred.||||
Snows Pickling (Fancy Pickle, Snows Early, Snows Fancy Pickling, Snows Perfected Pickle)|Mr. J. C. Snow.||monoecious inbred pickler, fruit straight, moderate dark green, 5-6 x 1.5-1.75' size. 1905.||||
Sonata (XPH 1356)|Asgrow.|Asgrow.|hybrid slicer, fruit dark green, cylindrical, blocky, L/D 4.1.|Marketmore 76. 1988.||scab tolerance to cucumber mosaic virus, powdery mildew.|
Southern Belle (G 61)|R.L. Lower, North Carolina State University, Raleigh.||predominantly gynoecious hybrid pickler, white spined, L/D 3.1.|Calypso. 1978.||anthracnose, angular leaf spot, downy mildew, powdery mildew, cucumber mosaic virus.|Gy 2 x M 27.
